sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
محمدرضا,,کاملا خمیر و شل بود تا حدی که اسلایس ها قابل جدا کردن نبود,پیتزا چهارفصل (ایتالیایی)
محجوب,۲,کیفیت غذا مثل همیشه خوب بود ولی کاملا سرد ب دستم رسید اونم بخاطره اشتباه رستوران در آدرس ارسال بود که باعث شد پیک درخواست وجه جدا کنه و خیلی رفتار بد و بی ادبانه ایی داشت.,پیتزا بیف گورمه (ایتالیایی)
سید ایمان,۲,غذا خیلی سرد بود انگاری که توو یخچال بود,چیز برگر
امير,,کیفیت مواد بی اندازه بد بود. حیف پول,سوپر برگر (پرسی)
خانم,۵,عالی بود فقط ب اندازه ی کافی تند نبود,پیتزا پپرونی (ایتالیایی)
غلامعباس,۳,"کیفیت غذا خوب بود.
فاصله نزدیک تا رستوران ولی غذای سرد...",پیتزا کالزون (آمریکایی)
hamed,۱,خیلی خیلی افتضاح بود,رویال
غزاله,۵,مثل همیشه عالی,نان سیر
nasrin,,پیتزاهاش جفتش یه مزه میداد هیچ فرقی نمیکرد,پیتزا آفریکانا (آمریکایی)
میثم,,"کیفیت غذاهاشون مثل همیشه عالی بود 
منتها منوی کودک میتونست هدیه ی مناسبتری داشته باشه یه بادکنک و لگوی ریز توجه دخترمو ک ب این واسطه سفارش پیتزا داده بودو جلب نکرد",ماءالشعیر قوطی هی دی لیمو
ژانت,۵,"با سلام.
این اولین سفارش من از اسنپ فود بود. 
خیلی سریع و گرم سفارش خود را دریافت کردم. تنها در عرض ۲۰دقیقه یا شاید کمتر. 
مرسی از اسنپ فود.",پیتزا سبزیجات (آمریکایی)
یاسمن,۴,فقط به نسبت گرون بود,پیتزا کاپریچیوزا (ایتالیایی)
امیر,,متاسفانه ساعت نه و نیم سفارش دادم ساعت ۱۱ رسید و غذا سر بود.جای تاسف داره.این آخرین باری بود که ازین رستوران خرید میکنم.,سوپر برگر (پرسی)
فردین,۵,خیلی عالی بود مثل همیشه,سوپر برگر (پرسی)
زهرا,۵,عالی بوووود,چیز برگر فرانسوی (پرسی)
مهدی,۱,دریافت هزینه حمل نسبت به فاصله تا مقصد منصفانه نمی باشد,پیتزا سوپریم (ایتالیایی)
منیره,,من هر دفعه از سیب خرید میکردم راضی بودم ولی این دفعه واقعا کیفیت پیتزا خیلی پایین بود، اصلا چیزی تحت عنوان کش اومدن پنیر که وجود نداشت فقط یه مشت پنیر بود که روی هم تلمبار شده بود. خمیر هم درست پخته نشده بود و کناره ها کاملا نپخته بود. استیکش هم به نظرم با توجه به نوع برش کم بود، در کل با توجه به قیمتی که از مشتری گرفته میشه به نظرم غذا سطح خیلی پایینی داشت.,پیتزا چانو (ایتالیایی)
علی,۱,"اصلا خوب نبود
حتی سیب زمینیش",پیتزا میکس (آمریکایی)
پارمین,,همیشه عااااااااااااااااااااالی بازم عالی بود مرسی مرسی,ساندویچ مرغ ویژه
محسن,,همه چی خیلی خوب بود و خوشمزه,پیتزا آفریکانا (آمریکایی)
kiarash,۵,عالى,پیتزا میکس (آمریکایی)
Amir,۱,غذای سرد با کیفیت افتضاح بعد از یک ساعت تاخیر رسید.,پیتزا چهارفصل (ایتالیایی)
حمیدرضا,,شما که به توضیح مشتری کوچکترین اهمیتی نمیدید نظرسنجیتون برای چیه؟؟؟!!!!,پیتزا گوشت و قارچ (آمریکایی)
عرفان,۳,به پیتزا سس نزده بودند. فقط خمیر و پنیر و پپرونی بود,پیتزا پپرونی (آمریکایی)
shabnam,۵,واقعا خوب بود گرم و خوشمزه و سریع هم رسید ممنونم,پیتزا کاپریچیوزا (ایتالیایی)
شکوفه,۳,نسبت به قیمت و نسبت به اینکه محصولات دیگشون خوش طعم بود اینیکی پیتزاشون اصلا باب میلم نبود ... ادویه روی سیبزمینی ها یجا ریخته شده بود و طعم ترش نچسبی داشت اگه جدا بدن ادویه رو بهتره بنظرم ... غذا ها هم سرد شده بودن,سیب زمینی
negin,۱,كيفيت بسيار پايين بود و غذا كاملآ سرد بود,سوپر برگر (پرسی)
جعفري,۵,عالی بود,ساندویچ هات داگ ویژه
هادی,۱,خیلی دیر به دستم رسید,پیتزا چیکن گورمه (ایتالیایی)
عباس,۵,هم با کیفیت هم داغ در کل نمره۲۰,سیب زمینی پنیر ویژه
علی,۵,برگر رو باید تازه و توی رستوران خورد و طبیعیه که وقتی بسته بندی میشه و ارسال میشه دیگه اون مزه توی رستوران رو نداره. به هر حال من راضی بودم و غذا گرم و خوشمزه به دستم رسید.,چیز برگر فرانسوی (پرسی)
فریده,۱,سفارش بعد از یک ساعت و چهل دقیقه بدستم رسید غذا کاملا سرد بود اولین و آخرین سفارشم بود,پیتزا گوشت و قارچ (آمریکایی)
فاطمه,۵,کیفیت خوبی داشتن پیتزاها و راضی بودیم,پیتزا بیف گورمه (ایتالیایی)
فیروزه,۵,خیلی خوب بود,غذای کودک (پسرانه)
یاشار,۴,خوش مزه، اما تا رسید دستم سر شده بود.,پیتزا آپاچینو (آمریکایی)
بهنام,۱,بعد یک ساعت و نیم پیتزا سرد تحویل دادن,پیتزا چیکن گورمه (ایتالیایی)
مسعود,۳,علی رقم تذکر حین سفارش غذا سرد بدستم رسید,چیز برگر
Arezoo,۵,عالی,پیتزا آپاچینو (آمریکایی)
جمیله,۵,یه مدتی بود کیفیت افت کرده بود ولی تو این دو بار اخیر واقعا خیلی خوب بود و ممنون,سیب زمینی پنیر ویژه
پژمان,۱,نان سیر سرد.نوشابه ی گرم,نان سیر
سعید,۵,بسته بندی و تایم تحویل سفارش خیلی خوب بود. کیفیت غذا هم خوب بود,پیتزا بیکن (ایتالیایی)
احمد,۵,در کل عالی است؛ فقط نمیدانم چرا مقدار سیب زمینی اش روز به روز کمتر می شود؟,سوپر برگر (پرسی)
مهدی,۳,سرد بود,پیتزا چهارفصل (ایتالیایی)
ehsan,۵,عالی,پیتزا سوپریم (ایتالیایی)
شهرزاد,۵,همه چیز عالی و کیفیت مناسب و خوشمزه,استار کمبو (۲)
امیر,۵,فووووق اللللعاااااااده,پیتزا گوشت و قارچ (آمریکایی)
امیرمحمد,۵,کیفیت بالا مواد بسته بندی مناسب شیک و مهمتر بهداشتی  و پلمب بودن بسته ها,ساندویچ مرغ ویژه
پریسا,۵,عالی بود,سیب زمینی پنیر ویژه
علی اصغر,۱,واقعا تحویل غذای سرد بعد گذشتن زمان  یک ساعت و ۱۵ دقیقه در صورتی فاصله محل پخت تا محل تحویل ۵ دقیقه بیشتر نبوده واقعا ناراحت کننده هست اگر مشتری شما نبودم مطمئنا نظر نمی‌دادم . ممنون,پیتزا چیکن گورمه (ایتالیایی)
پریسا,۵,عالی,پیتزا میکس کالزون (آمریکایی)
مریم,۵,خوب بود,سیب زمینی پنیر ویژه
اعظم,۱,کیفیت پایین,استرامبولی استرا گاردن
E,۵,عالی بود,سوپر برگر (پرسی)
علی,۵,عالی,پیتزا چانو (ایتالیایی)
سعید,۵,"کیفیت غذا عالیه ، سفارش رو بسیار دیر میرسونن اگر چه برخلاف بسیاری دیگه از رستورانها حداقل گرم هست... 
مالیات زیادی دریافت میکنن چیزی ور حدود ۶۸۰۰ تومن


نمیدونم واقعا این مالیات رو باید من بدم یا نه ولی دقیقه نود در صورت حساب محاسبه میشه",فیوژن
پروين,۵,خوب بود متشکرم,پیتزا پپرونی (ایتالیایی)
کیمیا,۵,خوشمزه بود,پیتزا چهارفصل (ایتالیایی)
حمید,۵,خوبه این جا اینه که همیشه کیفیتش خوب و یکنواخت. مواد اولیش خوبه و مزه خوبی هم داره . ممنون,پیتزا میکس (آمریکایی)
داوود,,غذا به اندازه کافی گرم نبود,پیتزا پپرونی (آمریکایی)
منصوره,۵,به موقع و گرم رسید، خیلیم خوشمزه و تمیز بود، ممنون,ساندویچ مرغ ویژه
مهدیه,۵,عااالی,ساندویچ هات داگ ویژه
بهناز,۳,استرا پستو اصلا خوشمزه نبود، مزه حنا میداد,استرامبولی استرامیت
مهدی,۵,عالی ولی هر روز گرونتر از دیروز :)),کوپر
امیر حسین,۴,پیتزای خوبی هستش ولی برای ما ۲ ساعت طول کشید تا بیارن,پیتزا چیکن گورمه (ایتالیایی)
حسین,۳,"پیتزا ولرم بود
به سیب زمینی اضافه فرستاده بودین

سیب‌زمینی هم کهنه بود
کاش بجا اینکه بسته بندی رو جدا جدا بده به من همشون تو یه پلاستیک بود 
وسط کوچه چهارتا جعبه داد دستم",پیتزا میکس (آمریکایی)
فرناز,۲,با سلام، متاسفانه سیب چند وقته که کیفیت غذاش تغییر کرده فکر می‌کنم دلیل اش هم مواد اولیه باشه هم پیتزا هم همبرگر بو و طعم بدی داشتند فقط دیگه می‌شه سیب زمینی اش رو سفارش داد,ساندویچ هات داگ ویژه
Dariush,۱,پیتزا میکس به شدت بد بود . آب قارچ و‌مرغ کاملا نون پیتزا رو خیس کرده بود و نمیشد تکه های پیتزا رو برداری. با این هزینه و این کیفیت پایین واقعا شاهکاره,پیتزا میکس (آمریکایی)
طلا,۵,همه چیز عالی,ساندویچ مرغ ویژه
کاوه,۲,من میکس مرغ و گوشت با طعم نعنا سفارش دادم ولی به جای اون پر از ژامبون با تعداد کمی مرغ بود.,پیتزا میکس (آمریکایی)
معین,۵,پیتزا خوشمزه بود ولی اگر پیتزاها داخل جعبه هایی که منفذ هوا داشته باشه قرار داده بشه افت کیفیت کمتری پیدا میکنه,پیتزا پپرونی (ایتالیایی)
زهرا,۲,سالاد عالی بود اما پیتزا اصلا کیفیت نداشت فیله مرغ ها نپخته ، به هم ریخته در جعبه بود .,پیتزا آفریکانا (آمریکایی)
فرزانه,۴,"پنیرش خیلی ناچیز و کم بود ، مابقی مواد بکار رفته در پیتزا عالی بود
سپاس",پیتزا چهارفصل (ایتالیایی)
ندا,۲,کلا خمیر پیتزا نپخته بود و خام اینبار اصلا راضی نبودم,پیتزا چانو (ایتالیایی)
leila,۱,من از مشتریای خیلی قدیمی سیب هستم از زمانی که افتتاح شده نظر ندادم ولی این سری میگم این چندمین باره که سفارش میدم به امید اینکه کیفیت بهتر بشه ولی نشده روز به روز افزایش قیمت و کیفیت غذا پایین تر کلا مرغ روی پیتزا خام بود در کل خیلی بی کیفیت,بلووز
