sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
محمد,,واقعا شرم آوره! ۷ تا پیتزا سفارش دادم بعد ۲ ساعت آوردن... پیتزاها که سرد سرد بود هیچ تازه پیکشون هم میگه خودت بیا پایین جلو در بگیر! اگه مهمون نداشتم همشو یکجا برمیگردوندم...یه آبروریزی کامل شد.,پیتزا چهارفصل (ایتالیایی)
آرش,۱,با این که فاصله مقصد با رستوران کمتر از ۵۰۰ متر بود، غذا کاملا سرد شده بود.,سیب زمینی با پنیر
پیمان,۱,پیتزا سردددددد غیر قابل تحمل,پیتزا بیکن (ایتالیایی)
مجتبی,۱,در یک کلام: مزخرف,پیتزا گوشت و قارچ (آمریکایی)
سیده زینب,۵,"دستتون درد نکنه خيلي خوب بود
ولي جايزه هاش و آبميوه اش قبلا بهتر بود که اونم ايرادي نيست با توجه به اوضاع مملکت و اين گروني ها.مهم اينه که دخترم خيلي شاد و خوش حال شد.و بسيارممنون از اسنپ فود",غذای کودک (دخترانه)
نسرین,۵,کیفیت عالی، سرعت تحویل هم عالی,پیتزا میکس (آمریکایی)
جمیله,۵,برخلاف قبل که میزان پنیر روی سیب زمینی کم بود اینبار خیلی خوب بود و میشد کل سیب زمینی رو باهاش خورد :),پیتزا چیکن گورمه (ایتالیایی)
فاطیما,,پیتزا بدون هیچ بسته بندی و سرد به دست ما رسید.حتی یه دونه سس هم همراه پیتزا نبود,پیتزا چانو (ایتالیایی)
مهران,۲,اینبار غذا شور بود وطعم همیشگی را نداشت.,پیتزا گوشت و قارچ (آمریکایی)
ریحانه,۵,"همه چیز عالی بود
پیتزای نیمه آماده واقعا ایده ی خوبیه برای جلوگیری از کرونا
فقط پیک دستکش نداشت",سیب زمینی
ارسلان,۵,خوب و خوشمزه بود ممنون,پیتزا چهارفصل (ایتالیایی)
زهرا,,پیتزا سرد بود . و در کل هم از نظر طعم، هم از نظر مواد استفاده شده خیلی معمولی بود,پیتزا چهارفصل (ایتالیایی)
سمیه,۱,غذا سرد بود و کیفیت غذا نسبت به قبل پایین تر بود,ماءالشعیر قوطی هی دی استوایی
فتاح,۵,سرویس و غذا عالی بود,پیتزا گوشت و قارچ (آمریکایی)
سیامک,۲,حتی اگر این سفارش کیفیت خوبی هم داشت بازم برخورد پیک باعث شد که دیگه از این رستوران خرید نکنم,نوشابه قوطی فانتا
علی,۲,"کاملا یخ به دست بنده رسید وسط تابستون غذا یخ یعنی احتمالا این پیتزا ماله چند ساعت قبل بوده.
تاخیر یه مشکل جدا و یخ بودن غذا یه مشکل بزرگتر است",پیتزا بیکن (ایتالیایی)
امیر,,چهار فصل بسیار ضعیف بود و پپرونی اش بسیار بی کیفیت بود در حد پیتزاهای دور میدان تجریش,پیتزا آفریکانا (آمریکایی)
راضیه,۵,خیلی عالی بود متشکرم,پیتزا چهارفصل (ایتالیایی)
بهنام,۵,سالاد اسفناج فوق العاده هست ممنونم از کیفیت غذاتون,پیتزا میکس (آمریکایی)
Parisa,۵,کاملا راضی بودم از کیفیت و زمان تحویل . باسپاس بسیار,پیتزا چیکن گورمه (ایتالیایی)
